year_x,iso3_o_x,iso3_d_x,Exports,gmt_offset_2020_o_x,gmt_offset_2020_d_x,lndist_x,dist_x,contig_x,comlang_off_x,comlang_ethno_x,comcol_x,col45_x,asean,aifta,international,gdp_o_x,gdp_d_x,tradeflow_comtrade_o_x,tradeflow_comtrade_d_x,tradeflow_imf_o_x,tradeflow_imf_d_x,sum_tf
2020,CAN,SGP,923653.5232,5,8,9.62,15010,0,1,1,0,0,0,0,1,1645423408,345295933.9,920847.735,1455154.627,918891.188,1368937,2376002.362
2020,CAN,THA,601413.4995,5,7,9.52,13646,0,0,0,0,0,0,0,1,1645423408,499681757,601241.524,736393.781,592566.25,772074.938,1337635.305
2020,CAN,USA,284355510.5,5,5,6.32,556,1,1,1,0,0,0,0,1,1645423408,20893743833,281141986,272693439.5,287075584,270381792,553835425.5
2020,CAN,VNM,550044.0547,5,7,9.54,13943,0,0,0,0,0,0,0,1,1645423408,343242570.8,549656.6,725326.206,549082.062,754991.812,1274982.806
2020,CAN,ZAF,233773.9087,5,2,9.50,13335,0,1,1,0,0,0,0,1,1645423408,335442101.4,233708.58,275398.028,233205.016,292580.219,509106.608
2020,CHL,ARE,256236.2244,4,4,9.60,14760,0,0,0,0,0,0,0,1,252727193.7,358868765.2,245627.825,242423.382,256673.047,252783.031,488051.207
2020,CHL,AUS,240498.9595,4,10,9.33,11299,0,0,0,0,0,0,0,1,252727193.7,1327836171,239005.531,386818.441,239005.547,379756.781,625823.972
2020,CHL,BRN,956.25059,4,8,9.73,16795,0,0,0,0,0,0,0,1,252727193.7,12005825.77,956.249,1498.8,956.252,1493.733,2455.049
2020,CHL,CAN,978853.0387,4,5,9.06,8590,0,0,0,0,0,0,0,1,252727193.7,1645423408,948297.579,1199254.744,948297.625,1276536.25,2147552.323
2020,CHL,CHL,,4,4,5.79,327,0,0,0,0,0,0,0,0,252727193.7,252727193.7,,,,,0
2020,CHL,CHN,28684607.82,4,8,9.84,18861,0,0,0,0,0,0,0,1,252727193.7,14687673893,28549649.58,28748511.36,28549650,28813158,57298160.94
2020,CHL,COL,582110.3232,4,5,8.35,4229,0,1,1,0,0,0,0,1,252727193.7,270299982.9,584174.077,604477.274,584174.062,604477.312,1188651.351
2020,CHL,DEU,1066495.716,4,1,9.43,12507,0,0,0,0,0,0,0,1,252727193.7,3846413929,1044446.805,1350517.322,1044446.875,914274,2394964.127
2020,CHL,FRA,1356068.929,4,1,9.36,11627,0,0,0,0,0,0,0,1,252727193.7,2630317731,1366902.767,853705.642,1365734,850865.812,2220608.409
